iter	Passed	Remaining
0	3	355
1	6	308
2	10	328
3	12	293
4	14	281
5	17	271
6	19	258
7	21	247
8	23	241
9	25	232
10	27	221
11	29	213
12	30	205
13	32	197
14	33	188
15	34	181
16	35	174
17	37	168
18	38	163
19	39	158
20	40	153
21	42	149
22	43	145
23	44	141
24	45	137
25	47	133
26	48	130
27	49	127
28	51	126
29	52	123
30	54	120
31	55	117
32	56	114
33	57	112
34	59	109
35	60	107
36	61	104
37	62	102
38	64	100
39	65	98
40	66	95
41	67	92
42	68	90
43	69	88
44	71	87
45	72	85
46	73	83
47	75	81
48	76	79
49	77	77
50	79	76
51	80	74
52	81	72
53	82	70
54	83	68
55	84	66
56	85	64
57	86	62
58	88	61
59	93	62
60	95	61
61	97	59
62	99	58
63	101	56
64	102	55
65	104	53
66	105	51
67	106	50
68	107	48
69	109	46
70	110	45
71	111	43
72	114	42
73	115	40
74	117	39
75	118	37
76	120	35
77	121	34
78	122	32
79	124	31
80	126	29
81	127	28
82	131	26
83	134	25
84	136	24
85	138	22
86	141	21
87	143	19
88	145	18
89	147	16
90	148	14
91	149	13
92	151	11
93	152	9
94	154	8
95	156	6
96	158	4
97	159	3
98	161	1
99	162	0
